EVENT_ID,SOURCE,PROJECT,STATION,SAMPLE_DATE,SAMPLE_TIME,DEPTH,LAYER,SAMPLE_TYPE,SAMPLE_ID,PARAMETER,QUALIFIER,VALUE,UNIT,METHOD,LAB,PROBLEM,DETAILS,TOTAL_DEPTH,UPPER_PYCNOCLINE,LOWER_PYCNOCLINE,LAT,LONG
63214,MDDNR,TRIB,CB5.1W,8/1/2000,9:25,8,B,ISM,M1,SALINITY,,13.33,PPT,F02,,,,9,,,38.32522,-76.37574
63215,MDDNR,TRIB,CB5.1W,8/14/2000,9:00,0.5,S,ISM,M1,SALINITY,,11.93,PPT,F02,,,,9,,,38.32522,-76.37574
63215,MDDNR,TRIB,CB5.1W,8/14/2000,9:00,3,AP,ISM,M1,SALINITY,,12,PPT,F02,,,,9,,,38.32522,-76.37574
63215,MDDNR,TRIB,CB5.1W,8/14/2000,9:00,6,BP,ISM,M1,SALINITY,,11.93,PPT,F02,,,,9,,,38.32522,-76.37574
63215,MDDNR,TRIB,CB5.1W,8/14/2000,9:00,8,B,ISM,M1,SALINITY,,11.93,PPT,F02,,,,9,,,38.32522,-76.37574
63216,MDDNR,TRIB,CB5.1W,8/28/2000,9:04,0.5,S,ISM,M1,SALINITY,,13.93,PPT,F02,,,,9,,,38.32522,-76.37574
63216,MDDNR,TRIB,CB5.1W,8/28/2000,9:04,3,AP,ISM,M1,SALINITY,,13.99,PPT,F02,,,,9,,,38.32522,-76.37574
63216,MDDNR,TRIB,CB5.1W,8/28/2000,9:04,6,BP,ISM,M1,SALINITY,,13.99,PPT,F02,,,,9,,,38.32522,-76.37574
63216,MDDNR,TRIB,CB5.1W,8/28/2000,9:04,8,B,ISM,M1,SALINITY,,14.06,PPT,F02,,,,9,,,38.32522,-76.37574
63364,MDDNR,TRIB,CB5.1W,9/18/2000,10:07,0.5,S,ISM,M1,SALINITY,,14.33,PPT,F02,,,,9,,,38.32522,-76.37574
63364,MDDNR,TRIB,CB5.1W,9/18/2000,10:07,3,AP,ISM,M1,SALINITY,,14.4,PPT,F02,,,,9,,,38.32522,-76.37574
63364,MDDNR,TRIB,CB5.1W,9/18/2000,10:07,6,BP,ISM,M1,SALINITY,,14.93,PPT,F02,,,,9,,,38.32522,-76.37574
63364,MDDNR,TRIB,CB5.1W,9/18/2000,10:07,8,B,ISM,M1,SALINITY,,15.75,PPT,F02,,,,9,,,38.32522,-76.37574
63476,MDDNR,TRIB,CB5.1W,10/16/2000,9:15,0.5,S,ISM,M1,SALINITY,,15.27,PPT,F02,,,,9,,,38.32522,-76.37574
63476,MDDNR,TRIB,CB5.1W,10/16/2000,9:15,1,M,ISM,M1,SALINITY,,15,PPT,F02,,,,9,,,38.32522,-76.37574
63476,MDDNR,TRIB,CB5.1W,10/16/2000,9:15,2,M,ISM,M1,SALINITY,,15.27,PPT,F02,,,,9,,,38.32522,-76.37574
63476,MDDNR,TRIB,CB5.1W,10/16/2000,9:15,3,AP,ISM,M1,SALINITY,,15.2,PPT,F02,,,,9,,,38.32522,-76.37574
63476,MDDNR,TRIB,CB5.1W,10/16/2000,9:15,6,BP,ISM,M1,SALINITY,,15.34,PPT,F02,,,,9,,,38.32522,-76.37574
63476,MDDNR,TRIB,CB5.1W,10/16/2000,9:15,8,B,ISM,M1,SALINITY,,15.95,PPT,F02,,,,9,,,38.32522,-76.37574
63477,MDDNR,TRIB,CB5.1W,10/30/2000,8:20,0.5,S,ISM,M1,SALINITY,,15.75,PPT,F02,,,,9,,,38.32522,-76.37574
63477,MDDNR,TRIB,CB5.1W,10/30/2000,8:20,3,AP,ISM,M1,SALINITY,,15.95,PPT,F02,,,,9,,,38.32522,-76.37574
63477,MDDNR,TRIB,CB5.1W,10/30/2000,8:20,6,BP,ISM,M1,SALINITY,,16.29,PPT,F02,,,,9,,,38.32522,-76.37574
63477,MDDNR,TRIB,CB5.1W,10/30/2000,8:20,8,B,ISM,M1,SALINITY,,17.04,PPT,F02,,,,9,,,38.32522,-76.37574
63612,MDDNR,TRIB,CB5.1W,11/16/2000,8:35,0.5,S,ISM,M1,SALINITY,,17.38,PPT,F02,,,,10,,,38.32522,-76.37574
63612,MDDNR,TRIB,CB5.1W,11/16/2000,8:35,3,AP,ISM,M1,SALINITY,,17.73,PPT,F02,,,,10,,,38.32522,-76.37574
63612,MDDNR,TRIB,CB5.1W,11/16/2000,8:35,6,BP,ISM,M1,SALINITY,,17.66,PPT,F02,,,,10,,,38.32522,-76.37574
63612,MDDNR,TRIB,CB5.1W,11/16/2000,8:35,9,B,ISM,M1,SALINITY,,17.66,PPT,F02,,,,10,,,38.32522,-76.37574
63717,MDDNR,TRIB,CB5.1W,12/12/2000,7:20,0.5,S,ISM,M1,SALINITY,,18.48,PPT,F02,,,,9,,,38.32522,-76.37574
63717,MDDNR,TRIB,CB5.1W,12/12/2000,7:20,3,AP,ISM,M1,SALINITY,,18.55,PPT,F02,,,,9,,,38.32522,-76.37574
63717,MDDNR,TRIB,CB5.1W,12/12/2000,7:20,6,BP,ISM,M1,SALINITY,,18.83,PPT,F02,,,,9,,,38.32522,-76.37574
63717,MDDNR,TRIB,CB5.1W,12/12/2000,7:20,8,B,ISM,M1,SALINITY,,19.66,PPT,F02,,,,9,,,38.32522,-76.37574
63817,MDDNR,TRIB,CB5.1W,1/17/2001,10:15,0.5,S,ISM,M1,SALINITY,,16.43,PPT,F02,,,,10,,,38.32522,-76.37574
63817,MDDNR,TRIB,CB5.1W,1/17/2001,10:15,3,AP,ISM,M1,SALINITY,,16.56,PPT,F02,,,,10,,,38.32522,-76.37574
63817,MDDNR,TRIB,CB5.1W,1/17/2001,10:15,6,BP,ISM,M1,SALINITY,,16.63,PPT,F02,,,,10,,,38.32522,-76.37574
63817,MDDNR,TRIB,CB5.1W,1/17/2001,10:15,9,B,ISM,M1,SALINITY,,20.01,PPT,F02,,,,10,,,38.32522,-76.37574
63909,MDDNR,TRIB,CB5.1W,2/8/2001,8:17,0.5,S,ISM,M1,SALINITY,,17.31,PPT,F02,,,,9,,,38.32522,-76.37574
63909,MDDNR,TRIB,CB5.1W,2/8/2001,8:17,2,M,ISM,M1,SALINITY,,17.31,PPT,F02,,,,9,,,38.32522,-76.37574
